time_s,value
0.012396,-2.006495
0.012417,-2.014833
0.012438,-1.959292
0.012458,-1.930159
0.012479,-1.841046
0.012500,-1.839447
0.012521,-1.826296
0.012542,-1.790696
0.012563,-1.813777
0.012583,-1.764997
0.012604,-1.789655
0.012625,-1.733472
0.012646,-1.719167
0.012667,-1.664828
0.012687,-1.607464
0.012708,-1.551370
0.012729,-1.465834
0.012750,-1.453981
0.012771,-1.384941
0.012792,-1.356384
0.012812,-1.226627
0.012833,-1.197230
0.012854,-1.207582
0.012875,-1.205041
0.012896,-1.239745
0.012917,-1.208670
0.012938,-1.252300
0.012958,-1.236617
0.012979,-1.279471
0.013000,-1.284578
0.013021,-1.315900
0.013042,-1.342679
0.013063,-1.335136
0.013083,-1.372549
0.013104,-1.341793
0.013125,-1.389229
0.013146,-1.322940
0.013167,-1.302127
0.013187,-1.307750
0.013208,-1.301857
0.013229,-1.285121
0.013250,-1.183160
0.013271,-1.149318
0.013292,-1.077586
0.013312,-1.083519
0.013333,-1.030082
0.013354,-1.001819
0.013375,-0.955169
0.013396,-0.882654
0.013417,-0.864608
0.013438,-0.771454
0.013458,-0.780736
0.013479,-0.713452
0.013500,-0.656742
0.013521,-0.582785
0.013542,-0.523240
0.013562,-0.453107
0.013583,-0.293548
0.013604,-0.181323
0.013625,-0.026001
0.013646,0.040620
0.013667,0.191910
0.013687,0.324447
0.013708,0.470039
0.013729,0.615295
0.013750,0.664731
0.013771,0.771264
0.013792,0.792686
0.013813,0.857912
0.013833,0.890200
0.013854,0.968638
0.013875,1.001505
0.013896,1.001493
0.013917,1.056017
0.013938,1.076803
0.013958,1.166447
0.013979,1.156404
0.014000,1.231423
0.014021,1.296790
0.014042,1.379099
0.014062,1.464358
0.014083,1.458720
0.014104,1.495061
0.014125,1.488247
0.014146,1.539109
0.014167,1.509857
0.014187,1.523920
0.014208,1.492642
0.014229,1.425073
0.014250,1.391411
0.014271,1.332409
0.014292,1.377993
0.014313,1.322906
0.014333,1.317232
0.014354,1.292370
0.014375,1.297986
0.014396,1.322309
0.014417,1.304245
0.014438,1.325013
0.014458,1.322204
0.014479,1.425008
0.014500,1.439082
0.014521,1.486729
0.014542,1.503320
0.014562,1.520170
0.014583,1.572271
0.014604,1.576604
0.014625,1.679829
0.014646,1.693669
0.014667,1.722728
0.014687,1.706110
0.014708,1.737216
0.014729,1.780966
0.014750,1.804465
0.014771,1.843204
0.014792,1.810334
0.014813,1.889025
0.014833,1.898658
0.014854,1.944680
0.014875,1.958661
0.014896,2.001214
0.014917,2.097692
0.014937,2.129194
0.014958,2.215125
0.014979,2.227296
0.015000,2.259896
0.015021,2.214728
0.015042,2.221465
0.015062,2.218126
0.015083,2.185591
0.015104,2.155160
0.015125,2.010526
0.015146,1.955092
0.015167,1.856457
0.015188,1.812171
0.015208,1.713609
0.015229,1.622059
0.015250,1.585650
0.015271,1.515226
0.015292,1.479996
0.015313,1.392240
0.015333,1.385132
0.015354,1.305098
0.015375,1.280468
0.015396,1.236651
0.015417,1.159065
0.015437,1.097580
0.015458,0.933510
0.015479,0.843154
0.015500,0.721984
0.015521,0.678463
0.015542,0.574571
0.015562,0.450528
0.015583,0.351694
0.015604,0.269483
0.015625,0.239216
0.015646,0.138016
0.015667,0.140813
0.015687,0.082715
0.015708,0.079061
0.015729,0.063614
0.015750,0.035438
0.015771,0.051087
0.015792,0.007483
0.015812,0.028577
0.015833,-0.001006
0.015854,0.039919
