time_s,dur_5_ms,dur_25_ms,dur_100_ms,dur_250_ms
0.006417,1.000000,0.257500,0.064375,0.025750
0.006438,1.000000,0.258333,0.064583,0.025833
0.006458,1.000000,0.259166,0.064792,0.025917
0.006479,1.000000,0.260000,0.065000,0.026000
0.006500,1.000000,0.260833,0.065208,0.026083
0.006521,1.000000,0.261666,0.065417,0.026167
0.006542,1.000000,0.262500,0.065625,0.026250
0.006562,1.000000,0.263333,0.065833,0.026333
0.006583,1.000000,0.264166,0.066042,0.026417
0.006604,1.000000,0.265000,0.066250,0.026500
0.006625,1.000000,0.265833,0.066458,0.026583
0.006646,1.000000,0.266666,0.066667,0.026667
0.006667,1.000000,0.267500,0.066875,0.026750
0.006688,1.000000,0.268333,0.067083,0.026833
0.006708,1.000000,0.269166,0.067292,0.026917
0.006729,1.000000,0.270000,0.067500,0.027000
0.006750,1.000000,0.270833,0.067708,0.027083
0.006771,1.000000,0.271666,0.067917,0.027167
0.006792,1.000000,0.272500,0.068125,0.027250
0.006812,1.000000,0.273333,0.068333,0.027333
0.006833,1.000000,0.274166,0.068542,0.027417
0.006854,1.000000,0.275000,0.068750,0.027500
0.006875,1.000000,0.275833,0.068958,0.027583
0.006896,1.000000,0.276666,0.069167,0.027667
0.006917,1.000000,0.277500,0.069375,0.027750
0.006938,1.000000,0.278333,0.069583,0.027833
0.006958,1.000000,0.279166,0.069792,0.027917
0.006979,1.000000,0.280000,0.070000,0.028000
0.007000,1.000000,0.280833,0.070208,0.028083
0.007021,1.000000,0.281666,0.070417,0.028167
0.007042,1.000000,0.282500,0.070625,0.028250
0.007062,1.000000,0.283333,0.070833,0.028333
0.007083,1.000000,0.284166,0.071042,0.028417
0.007104,1.000000,0.285000,0.071250,0.028500
0.007125,1.000000,0.285833,0.071458,0.028583
0.007146,1.000000,0.286666,0.071667,0.028667
0.007167,1.000000,0.287500,0.071875,0.028750
0.007188,1.000000,0.288333,0.072083,0.028833
0.007208,1.000000,0.289166,0.072292,0.028917
0.007229,1.000000,0.290000,0.072500,0.029000
0.007250,1.000000,0.290833,0.072708,0.029083
0.007271,1.000000,0.291666,0.072917,0.029167
0.007292,1.000000,0.292500,0.073125,0.029250
0.007312,1.000000,0.293333,0.073333,0.029333
0.007333,1.000000,0.294166,0.073542,0.029417
0.007354,1.000000,0.295000,0.073750,0.029500
0.007375,1.000000,0.295833,0.073958,0.029583
0.007396,1.000000,0.296666,0.074167,0.029667
0.007417,1.000000,0.297500,0.074375,0.029750
0.007438,1.000000,0.298333,0.074583,0.029833
0.007458,1.000000,0.299166,0.074792,0.029917
0.007479,1.000000,0.300000,0.075000,0.030000
0.007500,1.000000,0.300833,0.075208,0.030083
0.007521,1.000000,0.301666,0.075417,0.030167
0.007542,1.000000,0.302500,0.075625,0.030250
0.007562,1.000000,0.303333,0.075833,0.030333
0.007583,1.000000,0.304166,0.076042,0.030417
0.007604,1.000000,0.305000,0.076250,0.030500
0.007625,1.000000,0.305833,0.076458,0.030583
0.007646,1.000000,0.306666,0.076667,0.030667
0.007667,1.000000,0.307500,0.076875,0.030750
0.007688,1.000000,0.308333,0.077083,0.030833
0.007708,1.000000,0.309166,0.077292,0.030917
0.007729,1.000000,0.310000,0.077500,0.031000
0.007750,1.000000,0.310833,0.077708,0.031083
0.007771,1.000000,0.311666,0.077917,0.031167
0.007792,1.000000,0.312500,0.078125,0.031250
0.007812,1.000000,0.313333,0.078333,0.031333
0.007833,1.000000,0.314166,0.078542,0.031417
0.007854,1.000000,0.315000,0.078750,0.031500
0.007875,1.000000,0.315833,0.078958,0.031583
0.007896,1.000000,0.316666,0.079167,0.031667
0.007917,1.000000,0.317500,0.079375,0.031750
0.007938,1.000000,0.318333,0.079583,0.031833
0.007958,1.000000,0.319166,0.079792,0.031917
0.007979,1.000000,0.320000,0.080000,0.032000
0.008000,1.000000,0.320833,0.080208,0.032083
0.008021,1.000000,0.321666,0.080417,0.032167
0.008042,1.000000,0.322500,0.080625,0.032250
0.008062,1.000000,0.323333,0.080833,0.032333
0.008083,1.000000,0.324166,0.081042,0.032417
0.008104,1.000000,0.325000,0.081250,0.032500
0.008125,1.000000,0.325833,0.081458,0.032583
0.008146,1.000000,0.326666,0.081667,0.032667
0.008167,1.000000,0.327500,0.081875,0.032750
0.008187,1.000000,0.328333,0.082083,0.032833
0.008208,1.000000,0.329166,0.082292,0.032917
0.008229,1.000000,0.330000,0.082500,0.033000
0.008250,1.000000,0.330833,0.082708,0.033083
0.008271,1.000000,0.331666,0.082917,0.033167
0.008292,1.000000,0.332500,0.083125,0.033250
0.008313,1.000000,0.333333,0.083333,0.033333
0.008333,1.000000,0.334166,0.083542,0.033417
0.008354,1.000000,0.335000,0.083750,0.033500
0.008375,1.000000,0.335833,0.083958,0.033583
0.008396,1.000000,0.336666,0.084167,0.033667
0.008417,1.000000,0.337500,0.084375,0.033750
0.008438,1.000000,0.338333,0.084583,0.033833
0.008458,1.000000,0.339166,0.084792,0.033917
0.008479,1.000000,0.340000,0.085000,0.034000
0.008500,1.000000,0.340833,0.085208,0.034083
0.008521,1.000000,0.341666,0.085417,0.034167
0.008542,1.000000,0.342500,0.085625,0.034250
0.008562,1.000000,0.343333,0.085833,0.034333
0.008583,1.000000,0.344166,0.086042,0.034417
0.008604,1.000000,0.345000,0.086250,0.034500
0.008625,1.000000,0.345833,0.086458,0.034583
0.008646,1.000000,0.346666,0.086667,0.034667
0.008667,1.000000,0.347500,0.086875,0.034750
0.008687,1.000000,0.348333,0.087083,0.034833
0.008708,1.000000,0.349166,0.087292,0.034917
0.008729,1.000000,0.350000,0.087500,0.035000
0.008750,1.000000,0.350833,0.087708,0.035083
0.008771,1.000000,0.351666,0.087917,0.035167
0.008792,1.000000,0.352500,0.088125,0.035250
0.008813,1.000000,0.353333,0.088333,0.035333
0.008833,1.000000,0.354166,0.088542,0.035417
0.008854,1.000000,0.355000,0.088750,0.035500
0.008875,1.000000,0.355833,0.088958,0.035583
0.008896,1.000000,0.356666,0.089167,0.035667
0.008917,1.000000,0.357500,0.089375,0.035750
0.008938,1.000000,0.358333,0.089583,0.035833
0.008958,1.000000,0.359166,0.089792,0.035917
0.008979,1.000000,0.360000,0.090000,0.036000
0.009000,1.000000,0.360833,0.090208,0.036083
0.009021,1.000000,0.361666,0.090417,0.036167
0.009042,1.000000,0.362500,0.090625,0.036250
0.009062,1.000000,0.363333,0.090833,0.036333
0.009083,1.000000,0.364166,0.091042,0.036417
0.009104,1.000000,0.365000,0.091250,0.036500
0.009125,1.000000,0.365833,0.091458,0.036583
0.009146,1.000000,0.366666,0.091667,0.036667
0.009167,1.000000,0.367500,0.091875,0.036750
0.009187,1.000000,0.368333,0.092083,0.036833
0.009208,1.000000,0.369166,0.092292,0.036917
0.009229,1.000000,0.370000,0.092500,0.037000
0.009250,1.000000,0.370833,0.092708,0.037083
0.009271,1.000000,0.371666,0.092917,0.037167
0.009292,1.000000,0.372500,0.093125,0.037250
0.009313,1.000000,0.373333,0.093333,0.037333
0.009333,1.000000,0.374166,0.093542,0.037417
0.009354,1.000000,0.375000,0.093750,0.037500
0.009375,1.000000,0.375833,0.093958,0.037583
0.009396,1.000000,0.376666,0.094167,0.037667
0.009417,1.000000,0.377500,0.094375,0.037750
0.009437,1.000000,0.378333,0.094583,0.037833
0.009458,1.000000,0.379166,0.094792,0.037917
0.009479,1.000000,0.380000,0.095000,0.038000
0.009500,1.000000,0.380833,0.095208,0.038083
0.009521,1.000000,0.381666,0.095417,0.038167
0.009542,1.000000,0.382500,0.095625,0.038250
0.009562,1.000000,0.383333,0.095833,0.038333
0.009583,1.000000,0.384166,0.096042,0.038417
0.009604,1.000000,0.385000,0.096250,0.038500
