freq_hz,lowpass,bandpass,highpass
90.576744,-7.093163,82.906937,172.906876
93.098694,-7.291940,82.708153,172.708237
95.690918,-7.496368,82.503738,172.503693
98.355293,-7.706607,82.293518,172.293396
101.093849,-7.922832,82.077271,172.077271
103.908630,-8.145207,81.854897,171.854874
106.801849,-8.373936,81.626160,171.626190
109.775620,-8.609200,81.390892,171.390823
112.832130,-8.851183,81.148918,171.148880
115.973801,-9.100101,80.899963,170.899979
119.202957,-9.356162,80.643921,170.643906
122.521957,-9.619586,80.380501,170.380463
125.933434,-9.890586,80.109489,170.109497
129.439896,-10.169398,79.830673,169.830658
133.043930,-10.456269,79.543808,169.543762
136.748306,-10.751430,79.248642,169.248611
140.555908,-11.055151,78.944908,168.944916
144.469513,-11.367718,78.632378,168.632339
148.492020,-11.689376,78.310692,168.310654
152.626602,-12.020442,77.979630,167.979645
156.876221,-12.361201,77.638863,167.638840
161.244247,-12.711933,77.288124,167.288101
165.733902,-13.073004,76.927055,166.927032
170.348480,-13.444717,76.555321,166.555374
175.091629,-13.827432,76.172623,166.172653
179.966751,-14.221513,75.778557,165.778595
184.977707,-14.627330,75.372726,165.372772
190.128204,-15.045277,74.954788,164.954773
