time_s,value
0.024042,0.979787
0.024062,0.979683
0.024083,0.979579
0.024104,0.979475
0.024125,0.979371
0.024146,0.979266
0.024167,0.979162
0.024187,0.979058
0.024208,0.978954
0.024229,0.978850
0.024250,0.978745
0.024271,0.978641
0.024292,0.978537
0.024312,0.978433
0.024333,0.978329
0.024354,0.978225
0.024375,0.978120
0.024396,0.978016
0.024417,0.977912
0.024438,0.977808
0.024458,0.977704
0.024479,0.977599
0.024500,0.977495
0.024521,0.977391
0.024542,0.977287
0.024563,0.977183
0.024583,0.977078
0.024604,0.976974
0.024625,0.976870
0.024646,0.976766
0.024667,0.976662
0.024688,0.976557
0.024708,0.976453
0.024729,0.976349
0.024750,0.976245
0.024771,0.976141
0.024792,0.976037
0.024813,0.975932
0.024833,0.975828
0.024854,0.975724
0.024875,0.975620
0.024896,0.975516
0.024917,0.975411
0.024937,0.975307
0.024958,0.975203
0.024979,0.975099
0.025000,0.974995
0.025021,0.974890
0.025042,0.974786
0.025062,0.974682
0.025083,0.974578
0.025104,0.974474
0.025125,0.974370
0.025146,0.974265
0.025167,0.974161
0.025187,0.974057
0.025208,0.973953
0.025229,0.973849
0.025250,0.973744
0.025271,0.973640
0.025292,0.973536
0.025313,0.973432
0.025333,0.973328
0.025354,0.973223
0.025375,0.973119
0.025396,0.973015
0.025417,0.972911
0.025438,0.972807
0.025458,0.972703
0.025479,0.972598
0.025500,0.972494
0.025521,0.972390
0.025542,0.972286
0.025563,0.972182
0.025583,0.972077
0.025604,0.971973
0.025625,0.971869
0.025646,0.971765
0.025667,0.971661
0.025688,0.971556
0.025708,0.971452
0.025729,0.971348
0.025750,0.971244
0.025771,0.971140
0.025792,0.971035
0.025812,0.970931
0.025833,0.970827
0.025854,0.970723
0.025875,0.970619
0.025896,0.970515
0.025917,0.970410
0.025937,0.970306
0.025958,0.970202
0.025979,0.970098
0.026000,0.969994
0.026021,0.969889
0.026042,0.969785
0.026062,0.969681
0.026083,0.969577
0.026104,0.969473
0.026125,0.969368
0.026146,0.969264
0.026167,0.969160
0.026187,0.969056
0.026208,0.968952
0.026229,0.968848
0.026250,0.968743
0.026271,0.968639
0.026292,0.968535
0.026313,0.968431
0.026333,0.968327
0.026354,0.968222
0.026375,0.968118
0.026396,0.968014
0.026417,0.967910
0.026438,0.967806
0.026458,0.967701
0.026479,0.967597
0.026500,0.967493
0.026521,0.967389
0.026542,0.967285
0.026563,0.967180
0.026583,0.967076
0.026604,0.966972
0.026625,0.966868
0.026646,0.966764
0.026667,0.966660
0.026687,0.966555
0.026708,0.966451
0.026729,0.966347
0.026750,0.966243
0.026771,0.966139
0.026792,0.966034
0.026812,0.965930
0.026833,0.965826
0.026854,0.965722
0.026875,0.965618
0.026896,0.965513
0.026917,0.965409
0.026937,0.965305
0.026958,0.965201
0.026979,0.965097
0.027000,0.964993
0.027021,0.964888
0.027042,0.964784
0.027062,0.964680
0.027083,0.964576
0.027104,0.964472
0.027125,0.964367
0.027146,0.964263
0.027167,0.964159
0.027188,0.964055
0.027208,0.963951
0.027229,0.963846
0.027250,0.963742
0.027271,0.963638
0.027292,0.963534
0.027313,0.963430
0.027333,0.963326
0.027354,0.963221
0.027375,0.963117
0.027396,0.963013
0.027417,0.962909
0.027438,0.962805
0.027458,0.962700
0.027479,0.962596
0.027500,0.962492
0.027521,0.962388
0.027542,0.962284
0.027563,0.962179
0.027583,0.962075
0.027604,0.961971
0.027625,0.961867
0.027646,0.961763
0.027667,0.961658
0.027687,0.961554
0.027708,0.961450
0.027729,0.961346
0.027750,0.961242
0.027771,0.961138
0.027792,0.961033
0.027812,0.960929
0.027833,0.960825
0.027854,0.960721
0.027875,0.960617
0.027896,0.960512
0.027917,0.960408
0.027937,0.960304
0.027958,0.960200
0.027979,0.960096
0.028000,0.959991
0.028021,0.959887
0.028042,0.959783
0.028063,0.959679
0.028083,0.959575
0.028104,0.959471
0.028125,0.959366
0.028146,0.959262
0.028167,0.959158
0.028188,0.959054
0.028208,0.958950
0.028229,0.958845
0.028250,0.958741
0.028271,0.958637
0.028292,0.958533
0.028313,0.958429
0.028333,0.958324
0.028354,0.958220
0.028375,0.958116
0.028396,0.958012
0.028417,0.957908
0.028438,0.957803
0.028458,0.957699
0.028479,0.957595
0.028500,0.957491
0.028521,0.957387
0.028542,0.957283
0.028562,0.957178
0.028583,0.957074
0.028604,0.956970
0.028625,0.956866
0.028646,0.956762
0.028667,0.956657
0.028687,0.956553
0.028708,0.956449
0.028729,0.956345
0.028750,0.956241
0.028771,0.956136
0.028792,0.956032
0.028812,0.955928
0.028833,0.955824
0.028854,0.955720
0.028875,0.955616
0.028896,0.955511
0.028917,0.955407
0.028937,0.955303
0.028958,0.955199
0.028979,0.955095
0.029000,0.954990
0.029021,0.954886
0.029042,0.954782
0.029063,0.954678
0.029083,0.954574
